date,Q1,Q2,Q3,Q4,Q5
192607,3.15,5.35,1.77,2.36,0.57
192608,1.05,3.93,1.88,4.83,6.9
192609,-1,3.1,-0.55,0.08,-1.36
192610,-2.82,-2.96,-2.29,-4.1,-4.18
192611,4.11,2.62,1.98,3.7,2.34
192612,1.63,3.29,2.01,4.84,2.09
192701,-0.37,0.38,-0.49,0.69,5.49
192702,3.7,4.94,3.5,5.32,9.29
192703,0.29,1.47,-0.45,-0.12,-1.79
192704,2.21,0.93,-0.62,0.28,1.6
192705,5.57,4.85,5.2,6.16,8.83
192706,0.01,-3.05,-2.59,-2.56,-2.37
192707,10.35,5.98,6.67,7.91,6.95
192708,6.5,1.83,0.21,0.11,-1.32
192709,5.41,4.1,5.24,3.45,6.16
192710,-4.59,-2.23,-3.85,-5.86,-10.81
192711,7.17,7.21,6.08,7.33,9.02
192712,2.53,2.17,1.64,2.63,5.86
192801,-0.59,0.04,-0.03,-0.88,-1.78
192802,-0.89,-0.66,-0.9,-2.32,-5.54
192803,15.21,6.1,6.65,5.58,12.28
192804,2.15,6.43,6.34,2.86,6.53
192805,2.58,2.4,-0.57,1.11,-0.42
192806,-3.82,-4,-3.9,-5.27,-7.44
192807,1.5,0.13,0.21,0.7,0.12
192808,8.56,6.52,5.39,5.69,6.29
192809,3.8,2.51,2.09,2.44,6.96
192810,1.43,2.02,0.81,1.71,1.3
192811,11.37,10.5,15.23,10.26,15.97
192812,0.68,1.23,-0.95,1.31,-0.12
192901,5.73,7.8,2.77,3.43,1.81
192902,-0.83,0.72,0.44,1.86,3.28
192903,-1.08,0.24,2.04,-0.49,-2.12
192904,2.07,1.99,1.29,0.55,2.9
192905,-5.64,-6.8,-3.17,-4.52,-6.25
192906,11.43,12.32,8.66,7.65,6.68
192907,3.17,4.3,5.78,6.18,4.78
192908,6.4,10.61,11.4,10.85,4.91
192909,-5.4,-2.49,-4.32,-6.55,-5.84
192910,-24.72,-19.98,-13.51,-11.71,-14.01
192911,-13.77,-14.74,-10,-8.8,-10.73
192912,3.64,2.7,-0.36,1.17,2.31
193001,6.97,6,2.22,4.59,2.92
193002,2.29,4.61,1.58,1.01,2.86
193003,6.91,5.92,10.08,5.82,7.22
193004,-2.15,-1.82,-1.44,-5.54,-6.19
193005,0.2,-0.02,-2.01,-1.64,-2.78
193006,-17.83,-16.23,-13.44,-10.67,-15.13
193007,4.72,3.94,3.32,3.56,0.67
193008,1.36,-0.41,0.11,-2.52,-0.4
193009,-12.68,-11.67,-10.29,-15.66,-18.8
