date,Q1,Q2,Q3,Q4,Q5
192607,-0.75,1.87,1.29,1.79,3.19
192608,2,3.75,3.71,1.32,3.01
192609,-0.53,-1.67,0.26,0.14,0.75
192610,-3.68,-3.86,-2.81,-2.48,-3.15
192611,-0.32,2.26,3.69,3.25,2.59
192612,3.24,2.89,1.38,2.63,3.18
192701,2.62,1.36,1.45,1.2,-0.25
192702,8.05,5.78,7.32,5.01,4.28
192703,-4.1,-1.07,-2.87,-0.85,1.49
192704,4.27,1.44,0.56,0.48,0.76
192705,10.61,8.06,8.07,5.99,5.38
192706,-3.01,-1.34,-0.54,-2.07,-2.09
192707,4.92,5.37,4.6,6.24,8.08
192708,-0.35,-0.25,0.05,1.09,3.29
192709,0.79,1.52,3.98,4.91,5.1
192710,-6.5,-2.35,-2.76,-2.76,-4.38
192711,11.47,9.43,8.08,7.74,6.57
192712,3.68,1.44,5.25,2.71,2.19
192801,7.82,2.82,1.63,1.22,-1.04
192802,-1.96,-3.32,-2.99,-2.63,-0.93
192803,4.77,8.25,8.41,9.2,9.26
192804,14,9.61,5.91,4.75,3.79
192805,6.51,4.3,1.9,1.96,1.48
192806,-11.06,-7.04,-6.62,-5.77,-3.83
192807,0.81,-0.73,0.77,0.94,1.07
192808,3.6,4.68,5.86,8.38,6.81
192809,5.3,5.6,4.64,5.38,2.71
192810,3.66,1.89,2.15,0.18,1.78
192811,13.88,9.33,14.44,10.43,12.3
192812,-2.54,-1.48,1.32,1.37,0.28
192901,3.97,1.76,1.18,4.2,5.44
192902,-1.43,2.59,0.99,1.01,-0.29
192903,-2.26,-5.35,-4.42,-3.39,0.52
192904,0.65,2.49,1.55,1.57,1.82
192905,-13.81,-12.31,-8.82,-6.42,-4.77
192906,6.47,7.35,9.07,10.74,10.21
192907,-0.97,1.55,2.52,2.39,5.29
192908,-2.8,0.99,1.33,4.12,9.93
192909,-7.94,-3.24,-3.85,-2.77,-5.27
192910,-20.79,-19.95,-20.16,-21.59,-18.76
192911,-14.1,-13.09,-11.99,-11.8,-12.05
192912,-7.41,-3.9,-1.09,-0.37,2.69
193001,14.21,10.02,8.2,5.5,4.68
193002,1.38,2.98,3.05,2.46,2.71
193003,12.93,8.4,10.23,7.84,7.28
193004,-7.11,-4.47,-3.94,-4.96,-1.65
193005,-5.25,-3.39,-2.83,-2.69,-0.79
193006,-19.09,-17.91,-17.36,-17.28,-14.95
193007,3.32,3.67,4.7,4.03,4.05
193008,-4.34,-2.01,-1.94,-0.44,0.71
193009,-20.42,-16.36,-14.95,-13.71,-11.94
193010,-10.28,-9.96,-11.6,-8.75,-8.81
193011,-4.2,-2.39,-1.29,-1.77,-2.65
193012,-17.97,-14.52,-10.75,-9.53,-6.98
193101,17.45,13.34,10.93,6.79,5.91
193102,24.81,13.06,13.11,10.7,10.81
193103,-8.15,-3.23,-5.83,-7.22,-6.36
193104,-18.14,-16.49,-14.51,-11.93,-9.23
193105,-14.4,-9.36,-13.49,-15.13,-12.96
193106,15.59,11.35,14.33,16.36,14.01
193107,-7.11,-6.48,-7.89,-6.62,-6.31
193108,-4.78,-2.59,-1.45,0.5,0.21
193109,-32.73,-31.85,-31.11,-29.84,-28.03
193110,5.95,7.62,8.92,9.27,7.62
193111,-10.58,-8.64,-7.67,-8.18,-9.01
193112,-23.82,-17.16,-16.61,-12.36,-13.07
193201,10.69,6.93,2.44,-1.69,-1.65
193202,3.24,-1.87,1.94,2.3,6.11
193203,-12.26,-10.63,-11.97,-9.16,-10.8
193204,-19.68,-16,-15.89,-14.19,-17.86
193205,-10.14,-18.04,-25.33,-19.19,-20.6
193206,-2.42,3.04,5.28,1.93,-1.47
193207,47.88,46.31,43.54,39.02,32.45
193208,90.32,71.75,57.79,52.61,33.67
193209,-12.4,-10.79,-6.7,-5.51,-2.55
193210,-20.37,-20.56,-21.12,-17.81,-12.03
193211,-8.23,-10.57,-8.08,-7.47,-5.23
193212,-14.65,-7.81,-4.26,1.54,5.27
193301,0.49,4.47,5.59,3.29,0.98
193302,-16.4,-20.58,-18.48,-15.56,-14.87
193303,12.72,14.31,7.14,10.99,2.36
193304,48.64,52.04,56.07,48.5,35.93
193305,97.66,71.67,47.75,32.11,17.95
193306,27.05,20.57,21.56,14.29,12.54
193307,-6.75,-8.61,-15.13,-10.25,-9.31
193308,4.82,7.25,14.48,15.77,11.64
